DRXFDCD,foodcode,food_description
58161110,58164500,"Rice, white, with cheese and/or cream based sauce, NS as to fat added in cooking"
58163210,58164500,"Rice, white, with cheese and/or cream based sauce, NS as to fat added in cooking"
58161110,58164510,"Rice, white, with cheese and/or cream based sauce, fat not added in cooking"
58163210,58164510,"Rice, white, with cheese and/or cream based sauce, fat not added in cooking"
58161110,58164520,"Rice, white, with cheese and/or cream based sauce, fat added in cooking"
58163210,58164520,"Rice, white, with cheese and/or cream based sauce, fat added in cooking"
58161120,58164800,"Rice, brown, with cheese and/or cream based sauce, NS as to fat added in cooking"
58161120,58164810,"Rice, brown, with cheese and/or cream based sauce, fat not added in cooking"
58161120,58164820,"Rice, brown, with cheese and/or cream based sauce, fat added in cooking"
58161300,58160520,"Rice, white, with tomatoes (and/or tomato based sauce), NS as to fat added in cooking"
58161300,58160530,"Rice, white, with tomatoes (and/or tomato based sauce), fat not added in cooking"
58161300,58160540,"Rice, white, with tomatoes (and/or tomato based sauce), fat added in cooking"
58161310,58161460,"Rice, brown, with tomatoes (and/or tomato based sauce), NS as to fat added in cooking"
58161310,58161462,"Rice, brown, with tomatoes (and/or tomato based sauce), fat not added in cooking"
58161310,58161464,"Rice, brown, with tomatoes (and/or tomato based sauce), fat added in cooking"
58161400,58161470,"Rice, brown, with dark green vegetables, NS as to fat added in cooking"
58161400,58161490,"Rice, brown, with dark green vegetables and tomatoes (and/or tomato-based sauce) , NS as to fat added in cooking"
58161400,58161500,"Rice, brown, with carrots and dark green vegetables, NS as to fat added in cooking"
58161400,58161520,"Rice, brown, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), NS as to fat added in cooking"
58161402,58161472,"Rice, brown, with dark green vegetables, fat not added in cooking"
58161402,58161492,"Rice, brown, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat not added in cooking"
58161402,58161502,"Rice, brown, with carrots and dark green vegetables, fat not added in cooking"
58161402,58161522,"Rice, brown, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat not added in cooking"
58161404,58161474,"Rice, brown, with dark green vegetables, fat added in cooking"
58161404,58161494,"Rice, brown, with dark green vegetables and tomatoes (and/or tomato-based sauce), fat added in cooking"
58161404,58161504,"Rice, brown, with carrots and dark green vegetables, fat added in cooking"
58161404,58161524,"Rice, brown, with carrots, dark green vegetables, and tomatoes (and/or tomato-based sauce), fat added in cooking"
58163110,58164530,"Rice, white, with gravy, NS as to fat added in cooking"
